p10;p20;p30;p40;p50;p60;p70;p80;p90;uf_12;uf_13;uf_14;uf_15;uf_16;uf_17;uf_21;uf_22;uf_23;uf_24;uf_25;uf_26;uf_27;uf_28;uf_29;uf_31;uf_32;uf_33;uf_35;uf_41;uf_42;uf_43;uf_50;uf_51;uf_52;uf_53;sal_min;log_sal_min
-0,8472978603872034;-0,6594361232176338;-0,5596157879354227;-0,33647223662121295;-0,15415067982725805;0,0;0,13353139262452274;0,35667494393873245;0,7621400520468962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;724;-0,6594361232176338
-0,6509722555092328;-0,5853281510639121;-0,485507815781701;-0,3349349573023268;-0,17894265632841844;0,0;0,14310084364067333;0,4307829160924541;0,8362480242006178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;724;-0,5853281510639121
-0,9162907318741551;-0,8109302162163292;-0,6390799592896697;-0,49247648509779474;-0,25131442828090655;0,0;0,3083013596545161;0,6931471805599445;1,1519775092075557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;724;-0,9107505514985403
-0,9312187524583901;-0,48653293119694396;-0,46121512321265445;-0,29994697561653183;-0,23807157189844474;0,0;0,16739353620971986;0,45507560866150065;0,8605407167696644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,4763287610227023
-1,189584066873837;-0,6505875661411498;-0,3780191314994168;-0,3780191314994168;-0,24512245803298516;0,0;0,26570316573300534;0,5533852381847861;0,9588503462929499;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,3780191314994168
-1,197012219378311;-0,7234823803560175;-0,27879655909457135;-0,26859238892032966;-0,13569571545389802;0,0;0,3061370368251408;0,5574514651060474;1,068277088872037;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,26859238892032966
-1,09861228866811;-0,5389965007326873;-0,4205787459182124;-0,4054651081081646;-0,2025242641114744;0,0;0,2231435513142097;0,5319998589973975;1,203972804325936;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,4205787459182124
-1,203972804325936;-0,7985076962177713;-0,35667494393873245;-0,23825718912425753;-0,2231435513142097;0,0;0,2623642644674913;0,4700036292457357;0,9162907318741551;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,23825718912425753
-0,987308219109436;-0,6171249251459114;-0,5315302971276825;-0,3995215542073165;-0,19885085874516584;0,0;0,18393476059358171;0,5813076988044097;0,9586019299458775;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,5324182276737481
-1,1163571977106717;-0,5362286730024479;-0,33629092939562266;-0,33629092939562266;-0,20339425592919103;0,0;0,23843849634984782;0,5951134402885803;1,000578548396744;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;788;-0,33629092939562266
